Station ID,City,State,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
14740,HARTFORD,CT,18.8,20.7,28.2,38.4,48.4,57.8,63.4,61.7,53.8,42.4,33,24.6,40.9
13781,WILMINGTON,DE,25.6,27,33.9,43.5,53.4,63,68.3,66.6,59.3,47.3,37.4,30.3,46.3
93738,WASHINGTON DULLES,DC,25.2,26.7,33.6,43.2,53,61.9,66.8,65.2,57.9,45.3,35.6,29,45.3
13743,WASHINGTON NAT'L,DC,30.1,31.8,38.6,48.4,58,67.5,72.4,71,64.1,52.2,41.6,34.5,50.9
12834,DAYTONA BEACH,FL,48.5,51.1,54.8,60.1,66.2,71.8,73.5,74.1,72.9,66.7,57.9,52.1,62.5
12835,FORT MYERS,FL,54.3,56.6,59.6,64.3,69.1,73.6,74.7,75.1,74.3,69.4,61.8,57.3,65.8
12816,GAINESVILLE,FL,42.6,45.9,49.7,55.5,62.6,69.5,71.6,72,69.4,60.6,50.6,45.2,57.9
13889,JACKSONVILLE,FL,42.9,46.1,50.6,56.4,63.9,70.7,73.2,73.4,70.5,61.5,51.3,45.8,58.9
12836,KEY WEST,FL,65.5,67.1,69.3,73.1,76.4,79.4,80.6,80.5,79.2,76.8,72.2,68.3,74
12839,MIAMI,FL,61,63.2,65.6,69.8,73.4,76.3,77.5,77.7,76.9,74.2,68.3,64.3,70.7
12815,ORLANDO,FL,49.5,52.4,55.8,60.7,66.3,71.6,73.2,73.7,72.4,66.2,58.2,52.9,62.7
13899,PENSACOLA,FL,43.7,47.2,52.7,59,66.9,73.5,75.3,75,71.5,61.6,51,45.9,60.3
93805,TALLAHASSEE,FL,40.5,43.5,48.6,54.4,63,70.8,73,73.2,69.6,58.8,48,42.9,57.2
12842,TAMPA,FL,52.8,55.5,59.3,64.8,70.6,75.4,76.6,76.8,75.3,69.2,60.7,55.9,66.1
12843,VERO BEACH,FL,52.2,54.5,57.7,62.4,67.8,72.2,73.3,73.6,73.4,69,61.4,56.1,64.5
12844,WEST PALM BEACH,FL,57.9,60.1,63,67.5,71.7,75,76.1,76.5,75.8,72.6,66.1,61.5,68.6
13873,ATHENS,GA,33.8,36.9,42.9,49.8,58.6,66.5,70,69.2,63.3,51.9,41.6,36.3,51.7
13874,ATLANTA,GA,35.6,38.9,45.3,52.5,61.3,68.6,71.8,71.3,65.9,54.9,44.2,38.4,54.1
3820,AUGUSTA,GA,35.3,38.1,44.1,50.6,59.6,68.1,71.6,71,65,53.1,42.2,37.3,53
93842,COLUMBUS,GA,38.2,41.5,47.3,54,63.1,70.5,73.5,73,67.9,56.8,46.1,40.6,56
3813,MACON,GA,35.9,39.1,44.9,51,60,68.1,71.5,70.7,64.8,53.2,42.5,37.8,53.3
3822,SAVANNAH,GA,40,42.9,48.6,55.2,63.4,70.7,73.7,73.3,69,58.6,48,42.6,57.2
21504,HILO,HI,64.1,64.1,65.2,66.1,67.3,68.7,69.9,70.4,69.8,69,67.6,65.7,67.3
22521,HONOLULU,HI,66.8,67.1,68.1,70.1,71.5,73.8,75.1,75.6,74.8,73.9,71.8,69.2,71.5
22516,KAHULUI,HI,63.6,63.8,65.1,66.6,67.7,70.3,71.8,72.3,71.2,70.1,68.4,65.9,68.1
22536,LIHUE,HI,66,66.2,67.3,69.5,70.9,73.4,74.6,75.2,74.8,73.6,71.3,68.6,71
24131,BOISE,ID,25.5,29,34.9,39.6,47.5,54.1,61.9,60.8,52.6,41.5,31.7,25.4,42
24149,LEWISTON,ID,30.3,31.7,35.7,40.7,48.1,54,60.9,60.3,52.3,42,34.5,29.5,43.3
24156,POCATELLO,ID,17.1,20.3,27.8,32.8,39.7,46,52.3,50.5,42.2,32.8,23.8,17.3,33.6
94846,CHICAGO,IL,18.8,21.8,31,40.3,50.6,60.8,66.4,65.1,57.1,45.4,34.1,24.4,43
14923,MOLINE,IL,14.8,18.8,29.6,39.9,51.1,61,64.9,62.7,54.2,42.6,30.9,20.8,40.9
14842,PEORIA,IL,17.6,21.4,31.6,42.1,52.8,62.4,66.3,64.4,56.3,44.4,33,23.2,43
94822,ROCKFORD,IL,14.5,17.8,28.1,38.5,49.5,59.6,63.6,61.8,53.5,41.8,30.5,20.2,40
93822,SPRINGFIELD,IL,19.9,23.7,33.2,43.3,54.4,63.3,66.2,64.3,55.8,44.6,34.2,25.2,44
93817,EVANSVILLE,IN,25.5,28.4,36.4,46.1,56.6,65.3,68.8,66.7,58.6,47.1,36.5,29.5,47.1
14827,FORT WAYNE,IN,18.4,21,29.4,39.4,50.4,60.3,63.5,61.2,53.4,42.8,32.8,24.2,41.4
93819,INDIANAPOLIS,IN,20.9,24.2,33,43.3,53.7,62.9,66.4,65,57.4,45.5,34.9,26.2,44.4
14848,SOUTH BEND,IN,17,19.3,27.2,37.1,48.1,58.1,62.1,60.5,53,42.1,31.8,23,39.9
14933,DES MOINES,IA,13.8,18,29.6,40.6,52.3,62.4,66.4,64.2,55.4,42.9,30.2,19.5,41.3
94908,DUBUQUE,IA,11.1,15,26.3,37.2,48.5,58.6,62,60,51.8,39.9,28.1,17.2,38
14943,SIOUX CITY,IA,10.4,14.8,25.9,36.7,48.7,59.4,63.4,60.8,51.2,37.9,25,14.8,37.4
94910,WATERLOO,IA,10.7,15.2,26.9,37.9,50.2,60.8,64,61,52.4,40.2,27.7,17,38.7
13984,CONCORDIA,KS,18.9,22.1,31.7,41.2,52.2,62.8,67.4,65.1,56.5,43.7,31.3,21.9,42.9
13985,DODGE CITY,KS,20.3,23,31.3,40.1,51.2,61.6,66.4,64.7,56.2,42.9,30.2,22,42.5
23065,GOODLAND,KS,16.9,18.9,26.5,34.6,45.5,56.2,61.7,59.8,50.6,37.1,25.5,17.8,37.6
13996,TOPEKA,KS,20,24.2,34.1,43.9,55,65.2,69.3,66.8,57.5,45.1,33.1,24,44.9
