Station ID,City,State,Start Date,End Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
13889,JACKSONVILLE,FL,1938,2023,7,19,23,31,45,47,61,63,48,33,21,11,7
12836,KEY WEST,FL,1948,2023,41,45,47,48,63,68,69,68,69,60,49,44,41
12839,MIAMI,FL,1948,2023,30,35,32,42,55,60,69,68,68,53,39,30,30
12815,ORLANDO,FL,1952,2023,19,26,25,38,48,53,64,65,57,43,32,20,19
13899,PENSACOLA,FL,1948,2023,5,13,22,33,45,56,61,60,43,32,22,11,5
93805,TALLAHASSEE,FL,1940,2023,6,14,20,29,34,46,57,57,40,29,13,10,6
12842,TAMPA,FL,1939,2023,21,24,29,40,49,53,63,67,57,40,23,18,18
12843,VERO BEACH,FL,1942,2023,21,28,31,36,47,57,67,64,61,45,33,23,21
12844,WEST PALM BEACH,FL,1938,2023,27,32,30,43,51,61,68,65,66,46,36,28,27
13873,ATHENS,GA,1944,2023,-4,5,11,26,37,45,55,54,36,24,7,2,-4
13874,ATLANTA,GA,1930,2023,-8,5,10,26,37,46,53,55,36,28,3,0,-8
3820,AUGUSTA,GA,1944,2023,-1,9,12,26,35,47,54,52,36,22,11,5,-1
93842,COLUMBUS,GA,1948,2023,-2,10,16,28,39,44,59,57,38,24,10,4,-2
3813,MACON,GA,1948,2023,-6,9,14,28,40,46,54,55,35,26,10,5,-6
3822,SAVANNAH,GA,1948,2023,3,14,20,28,39,51,61,57,43,28,15,9,3
21504,HILO,HI,1949,2023,54,53,54,58,59,61,62,63,61,62,58,55,53
22521,HONOLULU,HI,1940,2023,52,53,55,56,60,65,66,65,64,61,57,54,52
22516,KAHULUI,HI,1954,2023,48,50,51,54,56,58,58,60,59,53,55,52,48
22536,LIHUE,HI,1950,2023,50,52,51,56,58,61,62,66,65,61,57,52,50
24131,BOISE,ID,1940,2023,-17,-15,6,19,22,31,35,34,23,11,-3,-25,-25
24149,LEWISTON,ID,1948,2023,-22,-15,2,20,23,34,41,41,28,15,-3,-22,-22
24156,POCATELLO,ID,1939,2023,-31,-33,-12,12,20,28,34,30,19,-6,-14,-29,-33
94846,CHICAGO,IL,1958,2023,-27,-19,-8,7,24,36,40,41,28,17,1,-25,-27
14923,MOLINE,IL,1943,2023,-33,-28,-19,7,25,39,46,40,30,16,-9,-24,-33
14842,PEORIA,IL,1943,2023,-25,-19,-10,14,25,39,47,41,29,19,-2,-23,-25
94822,ROCKFORD,IL,1951,2023,-31,-24,-11,5,24,37,43,41,27,15,-10,-24,-31
93822,SPRINGFIELD,IL,1901,2023,-21,-24,-12,16,28,39,48,43,32,13,-3,-21,-24
93817,EVANSVILLE,IN,1948,2023,-21,-23,-9,23,28,41,49,43,33,21,-3,-15,-23
14827,FORT WAYNE,IN,1939,2023,-22,-18,-10,7,23,38,44,38,29,19,-1,-18,-22
93819,INDIANAPOLIS,IN,1948,2023,-27,-21,-7,18,27,37,48,41,32,20,-2,-23,-27
14848,SOUTH BEND,IN,1893,2023,-22,-20,-13,11,24,35,42,40,29,12,-7,-18,-22
14933,DES MOINES,IA,1945,2023,-24,-26,-22,9,28,41,47,40,28,14,-4,-22,-26
94908,DUBUQUE,IA,1951,2023,-31,-27,-20,11,21,36,44,40,28,13,-17,-25,-31
14943,SIOUX CITY,IA,1948,2023,-28,-28,-22,-2,25,39,42,37,25,8,-9,-24,-28
94910,WATERLOO,IA,1950,2023,-34,-31,-34,-4,22,38,42,33,22,11,-17,-29,-34
13984,CONCORDIA,KS,1885,2023,-33,-25,-11,12,24,41,46,41,29,14,-15,-26,-33
13985,DODGE CITY,KS,1948,2023,-13,-15,-15,14,25,41,46,47,29,10,0,-21,-21
